Date Received,Company / Project Name,Sector,Description,LTM EBITDA ($M),"KGP 
Lead",Source,"Status 
(Note: color updates automatically)",Investment Criteria Fit?,One Pager?,"EOI Range
EV/EBITDA Multiple","LOI
EV/EBITDA
Multiple",,,,,,Date Received,Date Received,,,,,,,,,,,,,,,,,,,,,
24-Apr-24,CB Medical Inc.,Healthcare,Medical products and supplies,$3.1,AH,BDO Canada LLP,Passed,Yes,Yes,6.5x-7.5x,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
23-Apr-24,The AOK Group,Business Services,Construction services delivering on complex projects across various sectors,$18.6,BL,MNP (Vancouver),Passed,No,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
22-Apr-24,Lustre Products,Building Products,"Manufacturer of handrail systems, safety barricades, and tools for elevator and lift industry",$2.5,AH,MNP (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
19-Apr-24,Seair Seaplanes,Consumer Services,Regional airline in BC,$5.0,AH,Capital West Partners,Completed,Yes,Yes, 6.2x-7.0x , 6.2x ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
17-Apr-24,Project Seal,Business Services,Distributor of packaging material and equipment for food processors,$9.7,TMH,KPMG (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
16-Apr-24,Alberta Wilbert Sales,Industrial Products,Manufacturer and distributor of precast water and waste-water related building and infrastructure products,$5.0,AH,Sequeira Partners,Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
10-Apr-24,Western Rice Mills,Wholesale,"Procures products from around the world to supply distributors, grocery stores, etc.",$2.1,KM,TrueNorth M&A,Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
8-Apr-24,Project Cloud,Retail,Canadian cannabis company,$6.7,MA,Haywood Securities,Immediate Pass,No,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
28-Mar-24,Sentrimax Centrifuges,Business Services,Separation equipment specialist / environmental fluid solutions,$3.1,KM,Grant Thornton LLP (Calgary),Passed,Yes,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
22-Mar-24,Delta Marine Services,Business Services,Services for yachts and other marine vessels.,$2.9,BL,MNP (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
21-Mar-24,Project Snapshot,Business Services,Professional headshots and badging,$2.4,TMH,PwC (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
8-Mar-24,Imperial Sign,Industrial Products,Commercial sign manufacturer,$0.5,KM,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
7-Mar-24,Equipment Manufacturer,Industrial Products,Heavy equipment manufacturing,$1.9,KM,TrueNorth M&A,Immediate Pass,No,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
6-Mar-24,Project Dawn,Business Services,Provider of review seeding services for consumer brands,$0.8,KM,FTI Capital Advisors,Passed,Bolt-on,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
5-Mar-24,Genuine Guide Gear,Retail,Manufacturer of industry-leading gear for backcountry skiing and snowboard,n.a.,KM,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
4-Mar-24,Project Marvel,Retail,Diamond retailer,$12.0,AH,Origin Merchant Partners,Immediate Pass,No,No,  -   ,  -   ,,,,,,Mar,2024,,,,PYTD,,,,,,,,,,,,,,,,,
27-Feb-24,Project Remedy,Healthcare,Consolidator of indepdent pharmacies in Canada,$7.1,KM,PwC (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
23-Feb-24,Good Natured Products,Other,Earth-friendly packaging,$0.7,KM,Personal Relationships,Passed,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
23-Feb-24,Prairie Steel Products,Industrial Products,Engineered metal products,$3.5,KM,Sequeira Partners,Passed,Yes,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
23-Feb-24,Project Snowbird,Industrial Products,HVAC/Electrical services,$0.7,BL,BCI,Immediate Pass,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
22-Feb-24,Project Flow,Building Products,Alternatives to traditional building components,$6.9,AH,Fort Capital,Immediate Pass,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
20-Feb-24,Project Savoury,Other,"Specialty organic oats, spice, herb, and seasoning brand",$1.9,AH,BDO Canada LLP,Immediate Pass,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
20-Feb-24,Project Patriot,Building Products,"Mechanical contractor serving contruction design, fabrication, and installation.",$1.9,TMH,Grant Thornton LLP (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
15-Feb-24,DROP Sprockets,Industrial Products,Manufacturer of customizble parts that are critical in equipment and machinery.,$5.6,AH,Fort Capital,Passed,Yes,Yes,10.7x-11.7x,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
12-Feb-24,ACML,Business Services,Mission critical hard facilities management services provider,$6.5,AH,KPMG (Toronto),Passed,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
6-Feb-24,Technicon Industries,Building Products,Commercial and residential trade services contractor,$3.0,AH,MNP (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
25-Jan-24,Brydon Stairs,Building Products,Designs and manufactures wooden residential building components,$5.0,KM,MNP (Calgary),Passed,Yes,No,  -   ,  -   ,,,,,,Jan,2024,,,,PYTD,,,,,,,,,,,,,,,,,
24-Jan-24,Project Bailey,Business Services,Safety code inspection firm offering compliance monitoring services.,$2.0,MA,Osprey Capital Partners,Immediate Pass,Yes,No,  -   ,  -   ,,,,,,Jan,2024,,,,PYTD,,,,,,,,,,,,,,,,,
