Date Received,Company / Project Name,Sector,Description,LTM EBITDA ($M),"KGP 
Lead",Source,"Status 
(Note: color updates automatically)",Investment Criteria Fit?,One Pager?,"EOI Range
EV/EBITDA Multiple","LOI
EV/EBITDA
Multiple",,,,,,Date Received,Date Received,,,,,,,,,,,,,,,,,,,,,
15-Dec-22,Leone Fence Co. Ltd.,,"Mississauga-based mfter, dist, installer of metal and wood fencing (Vista?), 51% owned by Ardenton",$9.0 ,KM,TD Commercial Banking,Passed,Bolt-on,,,,,,,,,Dec,2022,,,,,,,,,,,,,,,,,,,,,
08-Dec-22,Food Equipment Distributor,,,$0.9 ,,Pacific Mergers & Acquisitions,Immediate Pass,No,,,,,,,,,Dec,2022,,,,,,,,,,,,,,,,,,,,,
28/Nov/22,Project Pixel,,Value added reseller of software and hardware in the digital & media entertainment space,$1.3 ,,Baker Tilly (Vancouver),Passed,No,,,,,,,,,Nov,2022,,,,,,,,,,,,,,,,,,,,,
14/Nov/22,Project Bronco,,"Industrial supply & rental company serving industrial, civil and pipeline industries",$30.5 ,,MNP (Vancouver),Immediate Pass,No,,,,,,,,,Nov,2022,,,,,,,,,,,,,,,,,,,,,
13/Nov/22,Project Ice / Diamond Ice Systems,,HVAC & commercial food equipment distributor,$1.3 ,,MNP (Vancouver),Passed,No,,,,,,,,,Nov,2022,,,,,,,,,,,,,,,,,,,,,
15/Nov/22,Project Steel / AAA Rebar,,"Supplies, fabricates and installs reinforcing steel products for commercial, institutional and residential development in Saanichton BC",$2.3 ,,MNP (Vancouver),Passed,Yes,,,,,,,,,Nov,2022,,,,,,,,,,,,,,,,,,,,,
15/Nov/22,Project Dogwood / Coquitlam College,,"private post-secondary institution, degree granting",$19,,KPMG Corporate Finance (Vancouver),Passed,No,,,,,,,,,Nov,2022,,,,,,,,,,,,,,,,,,,,,
8/Nov/22,Project Melt,,Ontario cheese / mozzarella processor,$3.7 ,,Baker Tilly (Toronto),Immediate Pass,No,,,,,,,,,Nov,2022,,,,,,,,,,,,,,,,,,,,,
2/Nov/22,Project Armour / BRT Structures,,"Blast resistant strctures sold and rented in Alberta, Saskatchewan",$7.5 ,,RBC Mid-Market M&A,Passed,Yes,,,,,,,,,Nov,2022,,,,,,,,,,,,,,,,,,,,,
31/Oct/22,Project Frame / Western Medical Canada,,Medical clinic contractor and equipment installation,$2.5 ,,KPMG Corporate Finance (Vancouver),Passed,Yes,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
31/Oct/22,Project Bluebird / Mike Wiegele Helicopter Skiing,,Heli-ski operator,$6.0 ,,KPMG Corporate Finance (Vancouver),Passed,Yes,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
24/Oct/22,Project Hydros / White Water Management Ltd. ,,Fluid management ,$13.7 ,,Ernst & Young (Vancouver),Passed,No,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
21/Oct/22,TWC Nutrition,,manufacturer of natural health products and nutrition supplements (protein powders),n.a.,,,Passed,VC,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
21/Oct/22,Tiber River,,"manufacturer and distributor of natural personal care products, based in MB",n.a.,,,Immediate Pass,VC,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
31/Oct/22,Project Opportunity / Adanac Recovery,,Bottle and recycling depot in Victoria BC,$2.5 ,,Relay Transition Partners,Immediate Pass,Yes,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
31/Oct/22,Lynx Fences,,Fence manufacturer in AB,$7.0 ,,MNP (Calgary),Passed,Yes,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
1/Oct/22,Coho Commissary,,"multi-location centralized kitchens for food brands and ghost kitchens, pubco",n.a.,,,Immediate Pass,VC,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
21/Oct/22,Mint Tiny Homes,,manufacturer of mini trailer homes,$1.2 ,,,Passed,No,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
15/Oct/22,Project Tarmac,,"Asphalt production, paving, gravel extraction",$11.0 ,,RG Strategic Advisors,Immediate Pass,No,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
1/Oct/22,ON2 and Seymour Medical,,oxygen generation systems and medical clinic roll-up,$2.0 ,,YPO,Passed,Yes,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
1/Oct/22,Organika,,natural supplements manufacturer and distributor,$11.0 ,,YPO,Passed,No,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
11/Oct/22,Project Rock,,Stone countertop manufactuerer,$4.6 ,,National Bank,Immediate Pass,Yes,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
1/Oct/22,Wrkout,,,n.a.,,YPO,Completed,VC,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
30/Sep/22,Project Sirius / Welco Lumber Group,,Wholesaler and trader of building supplies,$9.5 ,,Smythe LLP,Passed,No,,,,,,,,,Sep,2022,,,,,,,,,,,,,,,,,,,,,
15/Sep/22,Project Laser / Hansen Industries Ltd. ,,Manufacturer of precision sheet metal & machined components,$8.8 ,,Capital West Partners,Passed,Yes,,,,,,,,,Sep,2022,,,,,,,,,,,,,,,,,,,,,
1/Sep/22,Stonz,,,n.a.,TMH/KM,Other,Completed,VC,,,,,,,,,Sep,2022,,,,,,,,,,,,,,,,,,,,,
28/Oct/22,Lodestar,,data warehousing and BI for credit unions,$1.8 ,,Garibaldi Capital,Passed,No,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
30/Oct/22,Fleurs de Villes,,,n.a.,,Praveen Varshney,Passed,VC,,,,,,,,,Oct,2022,,,,,,,,,,,,,,,,,,,,,
31/Jan/22,Project Xpert,, ,$9.6 ,,KPMG Corporate Finance (Vancouver),Passed,No,,,,,,,,,Jan,2022,,,,,,,,,,,,,,,,,,,,,
31/Dec/21,Scarlet Security Services,,Northern BC security services,$4.0 ,,MNP (Vancouver),Passed,Yes,,,,,,,,,Dec,2021,,,,,,,,,,,,,,,,,,,,,
30/Nov/21,Purebread,,Retailer and manufacturer of baked goods,$1.0 ,,CIBC Mid-Market (Vancouver),Passed,No,,,,,,,,,Nov,2021,,,,,,,,,,,,,,,,,,,,,
30/Nov/21,The Fishin' Hole,,Fishing equipment and supplies,$2.2 ,,Grant Thornton LLP (Victoria),Passed,Yes,,,,,,,,,Nov,2021,,,,,,,,,,,,,,,,,,,,,
30/Nov/21,TruEarth,,Eco-friendly laundry detergent and household products,$0.0 ,,KPMG Corporate Finance (Vancouver),Passed,No,,,,,,,,,Nov,2021,,,,,,,,,,,,,,,,,,,,,
30/Nov/21,BBQ's Galore,,BBQ retailer,$3.5 ,,,Passed,Yes,,,,,,,,,Nov,2021,,,,,,,,,,,,,,,,,,,,,
31/Oct/21,Project Kokanee / EcoFish,,Environmental services company focused in the water space,$4.7 ,,Sequoia Mergers & Acquisitions Corp.,Passed,Yes,,,,,,,,,Oct,2021,,,,,,,,,,,,,,,,,,,,,
24/Aug/21,Project Sunshine,,Online cloud based software for students to find perfect universities ,TBD,,PwC (Toronto),Passed,VC,,,,,,,,,Aug,2021,,,,,,,,,,,,,,,,,,,,,
15/Aug/21,Porject Panda / BWC & Jericho ,,Merger of two local wellness centers ,$0.1 ,,,Passed,VC,,,,,,,,,Aug,2021,,,,,,,,,,,,,,,,,,,,,
10/Aug/21,Project Oak / Heartwood,,Manufacture and distributor of high end office furniture ,$4.5 ,,MNP (Vancouver),Passed,Yes,,,,,,,,,Aug,2021,,,,,,,,,,,,,,,,,,,,,
15/Jul/21,Project Rodeo / Hi-Hog ,,Livestock equipment manufacturer,$1.0 ,,BDO Canada LLP,Immediate Pass,No,,,,,,,,,Jul,2021,,,,,,,,,,,,,,,,,,,,,
12/Jul/21,Project Trojan Horse / Coast to Coast Experience,,Local tour bus operator,$2.0 ,,KPMG Corporate Finance (Vancouver),Passed,Yes,,,,,,,,,Jul,2021,,,,,,,,,,,,,,,,,,,,,
7/Jul/21,Project Grow / Bellpark Solutions Inc.,,Horticulture equipment dealer and services,$2.0 ,,MNP (Vancouver),Passed,Yes,,,,,,,,,Jul,2021,,,,,,,,,,,,,,,,,,,,,
4/Jul/21,Project Purple / Westeck Windows,,Residential window manufacturer and distributor,$2.0 ,,Transition Advisory Partners,Passed,Yes,,,,,,,,,Jul,2021,,,,,,,,,,,,,,,,,,,,,
17/Jun/21,Project Fresh / Earth's Own,,Oat milk manufacturer (carve-out),$3.0 ,,CIBC Mid-Market (Vancouver),Immediate Pass,Yes,,,,,,,,,Jun,2021,,,,,,,,,,,,,,,,,,,,,
26/May/21,Project Shield / IFR,,Fire-resistant clothing manufacturer and distributor,$2.5 ,,MNP (Edmonton),Deal Lost,Yes,,,,,,,,,May,2021,,,,,,,,,,,,,,,,,,,,,
25/May/21,Bursting Silver,,Software implementator for non-profit sectors,$6.0 ,,MNP (Calgary),Immediate Pass,Yes,,,,,,,,,May,2021,,,,,,,,,,,,,,,,,,,,,
18/May/21,Pacific West Mechanical,,Condominium mechanical contracting services,$2.0 ,,Renaissance M&A,Immediate Pass,Yes,,,,,,,,,May,2021,,,,,,,,,,,,,,,,,,,,,
13/May/21,Project Marquee / Atlas Sign and Awning,,Designer and manufacturer of signs and awnings,$1.8 ,,MNP (Vancouver),Immediate Pass,No,,,,,,,,,May,2021,,,,,,,,,,,,,,,,,,,,,
7/Apr/21,Project Thunderbolt / Mazzei Electric,,Electrical contracting services,$2.0 ,,Renaissance M&A,Immediate Pass,Yes,,,,,,,,,Apr,2021,,,,,,,,,,,,,,,,,,,,,
10/Mar/21,Project Equinox / ATS Services,,Aviation communication services and meteorological observations,$4.0 ,,KPMG Corporate Finance (Vancouver),Immediate Pass,Yes,,,,,,,,,Mar,2021,,,,,,,,,,,,,,,,,,,,,
8/Feb/21,Project Candlelight / Outland Living,,"Manufacturer and marketer of fire bowls, fire tables and other outdoor living products",$8.5 ,,RBC Mid-Market M&A,Immediate Pass,Yes,,,,,,,,,Feb,2021,,,,,,,,,,,,,,,,,,,,,
8/Feb/21,Project Denali / Dumur Industries / Dellcom Aerospace,,Manufacturer of machine parts and assemblies for defense and aerospace OEMs,$6.4 ,,KPMG Corporate Finance (Vancouver),Immediate Pass,Yes,,,,,,,,,Feb,2021,,,,,,,,,,,,,,,,,,,,,
1/Oct/20,Project Keystone / The Shareholder's Group,,3 separate wood product busineses HQ'd in Washington state,$3.9 ,,MNP (Vancouver),Immediate Pass,No,,,,,,,,,Oct,2020,,,,,,,,,,,,,,,,,,,,,
1/Oct/20,Project San Diego / SDM Realty,,"Property management services for commercial properties in BC, AB",$1.6 ,,CCC Investment Banking,Immediate Pass,No,,,,,,,,,Oct,2020,,,,,,,,,,,,,,,,,,,,,
15/Sep/20,Kintec,,"Retailer and manufacturer of orthotics, and provider of clinic management software",$2.8 ,,NAI,Deal Lost,Yes,,,,,,,,,Sep,2020,,,,,,,,,,,,,,,,,,,,,
15/Sep/20,WA Grain (Carve out),,Carve out of a manufacturer of pulses and ag. trader,$2.2 ,,,Immediate Pass,Yes,,,,,,,,,Sep,2020,,,,,,,,,,,,,,,,,,,,,
24/Aug/20,Project Zinc / Trenton Distributors Ltd.,,Telecom distributor,$1.5 ,,KPMG Corporate Finance (Vancouver),Immediate Pass,No,,,,,,,,,Aug,2020,,,,,,,,,,,,,,,,,,,,,
23/Apr/20,TBA Beverages,,Craft beer brewer and contract brewer,$0.0 ,,The Bowra Group,Immediate Pass,VC,,,,,,,,,Apr,2020,,,,,,,,,,,,,,,,,,,,,
23/Apr/20,Project Gadget / The Surveillance Shop,,Commercial security integrator,$1.3 ,,Ernst & Young (Vancouver),Immediate Pass,No,,,,,,,,,Apr,2020,,,,,,,,,,,,,,,,,,,,,
15/Apr/20,Burgess Cawley Sullivan,,Real estate appraisal service,$1.9 ,,CCC Investment Banking,Immediate Pass,No,,,,,,,,,Apr,2020,,,,,,,,,,,,,,,,,,,,,
15/Apr/20,Bulldog Bag,,Manufacturer of custom packaging products,$2.6 ,,Renaissance M&A,Immediate Pass,Yes,,,,,,,,,Apr,2020,,,,,,,,,,,,,,,,,,,,,
15/Apr/20,Bone + Biscuit,,Franchisor of boutique pet stores,$3.0 ,,Deloitte Corporate Finance,Deal Lost,Yes,,,,,,,,,Apr,2020,,,,,,,,,,,,,,,,,,,,,
30/Mar/20,More Than Just Feed,,Dairy and cattle feed provider,$4.5 ,,MNP (Calgary),Immediate Pass,Yes,,,,,,,,,Mar,2020,,,,,,,,,,,,,,,,,,,,,
20/Mar/20,Project Jump / Smash + Tess,,Manufacturer of womens wear (i.e. rompers / jumpers),$4.4 ,,CIBC Mid-Market (Vancouver),Immediate Pass,Yes,,,,,,,,,Mar,2020,,,,,,,,,,,,,,,,,,,,,
20/Feb/20,Project Supplements / Prime Health Ltd.,,"Contract manufacturer of nutrient supplements (i.e. omega 3, vitamins, etc.)",$2.6 ,,Tully & Holland,Immediate Pass,Yes,,,,,,,,,Feb,2020,,,,,,,,,,,,,,,,,,,,,
27/Jan/20,CoreHealth Technologies,,"Employee well-being, productivity & engagement software ",$0.4 ,,David Raffa,Immediate Pass,VC,,,,,,,,,Jan,2020,,,,,,,,,,,,,,,,,,,,,
19/Nov/19,Project Mix / Fraserway Prekast / Vancouver Ready Mix,,Fraser Valley-based precast manufacturer and ready mix provider,$2.0 ,,Capital West Partners,Passed,Yes,,,,,,,,,Nov,2019,,,,,,,,,,,,,,,,,,,,,
18/Nov/19,Project Atlantida / Campo Equipment Co. Ltd.,,North American manufacturer of industrial portable HVAC equipment servicing the rental equipment sector,$6.5 ,,KPMG Corporate Finance (Vancouver),Passed,Yes,,,,,,,,,Nov,2019,,,,,,,,,,,,,,,,,,,,,
15/Nov/19,Nautilus Environmental Labs,,Environmental testing laboratory,$1.7 ,,Geneva M&A,Deal Lost,No,,,,,,,,,Nov,2019,,,,,,,,,,,,,,,,,,,,,
13/Nov/19,Project Frontier,,Branded oil and lubricants manufacturer and distributor,$5.9 ,,Deloitte Corporate Finance,Passed,Yes,,,,,,,,,Nov,2019,,,,,,,,,,,,,,,,,,,,,
8/Nov/19,Project Baker,,Baked goods manufacturer,$2.9 ,,Duff & Phelps,Passed,Yes,,,,,,,,,Nov,2019,,,,,,,,,,,,,,,,,,,,,
8/Nov/19,Project Iris / Ideon Packaging,,Paper packaging manufacturer,$3.8 ,,KPMG Corporate Finance (Vancouver),Passed,Yes,,,,,,,,,Nov,2019,,,,,,,,,,,,,,,,,,,,,
8/Nov/19,Project Daebak,,Beauty products distributor,$5.0 ,,Duff & Phelps,Immediate Pass,Yes,,,,,,,,,Nov,2019,,,,,,,,,,,,,,,,,,,,,
16/Oct/19,Pentco Industries Inc.,,Cabinetry manufacturer,$3.0 ,,Renaissance M&A,Passed,Yes,,,,,,,,,Oct,2019,,,,,,,,,,,,,,,,,,,,,
7/Oct/19,Project Scholar,,Cannabis manufacturing and lab work,n.a.,,Duff & Phelps,Immediate Pass,VC,,,,,,,,,Oct,2019,,,,,,,,,,,,,,,,,,,,,
3/Oct/19,The Rush Group,,Earthwork and ground improvement services,$4.5 ,,Sequoia Mergers & Acquisitions Corp.,Passed,Yes,,,,,,,,,Oct,2019,,,,,,,,,,,,,,,,,,,,,
3/Oct/19,Project ICEPIK / Kennedy Industries (SCG Add-On),,"Distribution, repair and servicing of pumps",$13.3 ,,Other,Passed,No,,,,,,,,,Oct,2019,,,,,,,,,,,,,,,,,,,,,
30/Sep/19,Project Nova / CYC Design Group,,"Athletic and high-end casual apparel (Reigning Champ, Wings & Horns)",$1.9 ,,RBC Mid-Market M&A,Passed,No,,,,,,,,,Sep,2019,,,,,,,,,,,,,,,,,,,,,
6/Sep/19,Project Zoe / Alive Publishing Group,,Health & wellness focused media,$1.8 ,,Fort Capital,Passed,No,,,,,,,,,Sep,2019,,,,,,,,,,,,,,,,,,,,,
3/Sep/19,Project Carrier / Jump.ca,,Telecommunications retailer,$4.9 ,,Duff & Phelps,Passed,Yes,,,,,,,,,Sep,2019,,,,,,,,,,,,,,,,,,,,,
3/Sep/19,Project Sonic / Trinity Power,,Equipment rental of temporary power products,$3.3 ,,RBC Mid-Market M&A,Passed,Yes,,,,,,,,,Sep,2019,,,,,,,,,,,,,,,,,,,,,
25/Jul/19,Left Travel  / Left Technologies Inc. ,,Online platform matching travelers with available properties,$1.5 ,,Private (no broker),Passed,No,,,,,,,,,Jul,2019,,,,,,,,,,,,,,,,,,,,,
20/Jul/19,Project Eco / Engineered Plastic Systems,,"Manufactures mineral filled, high density polyethlene boards ",$2.3 ,,SLATE Partners,Passed,Yes,,,,,,,,,Jul,2019,,,,,,,,,,,,,,,,,,,,,
13/Jul/19,Project Trailblazer / Pioneer Offroad Holdings,,Speciality equipment rental ,$4.9 ,,Craft Partners,Passed,,,,,,,,,,Jul,2019,,,,,,,,,,,,,,,,,,,,,
12/Jul/19,Project Pasture / Beretta,,Vertically integrated producer/processor of branded animal protein products,$0.0 ,,KPMG Corporate Finance (Vancouver),Passed,,,,,,,,,,Jul,2019,,,,,,,,,,,,,,,,,,,,,
6/Jun/19,Project Fraser / Glass World,,Bathroom glass / products for multi-family developments,$5.1 ,,Fort Capital,Passed,,,,,,,,,,Jun,2019,,,,,,,,,,,,,,,,,,,,,
29/May/19,Project Payload / Advance Engineered Products,,Class 8 trailer manufacturer and servicer,$4.3 ,,CIBC Mid-Market (Toronto),Passed,,,,,,,,,,May,2019,,,,,,,,,,,,,,,,,,,,,
29/May/19,Project Aluminum / Railcraft ,,Manufacturer of commercial-use aluminum railings ,$4.2 ,,MNP (Vancouver),Passed,,,,,,,,,,May,2019,,,,,,,,,,,,,,,,,,,,,
23/May/19,Project Voyager,,Countertop fabricator & architectural millwork manufacturer,$2.2 ,,MNP (Vancouver),Passed,,,,,,,,,,May,2019,,,,,,,,,,,,,,,,,,,,,
23/May/19,Project Zinc,,Metal fabrication business,$2.5 ,,BDO Canada LLP,Immediate Pass,,,,,,,,,,May,2019,,,,,,,,,,,,,,,,,,,,,
15/May/19,Project Vista / Ampco Holdings Inc.,,"Custom manufacturer, industrial components, graphics & signage",$3.5 ,,Grant Thornton LLP,Passed,,,,,,,,,,May,2019,,,,,,,,,,,,,,,,,,,,,
27/Mar/19,Project Veg,,Produce wholesaler and processor,$2.5 ,,KPMG Corporate Finance (Vancouver),Passed,,,,,,,,,,Mar,2019,,,,,,,,,,,,,,,,,,,,,
4/Feb/19,Project Cyclone,,Environmental and geotechnical drilling services,$2.5 ,,Sequeira Partners,Passed,,,,,,,,,,Feb,2019,,,,,,,,,,,,,,,,,,,,,
24/Jan/19,Left Coast Naturals,,Natural food distributor,$2.2 ,,Peter Day & Associates,Passed,,,,,,,,,,Jan,2019,,,,,,,,,,,,,,,,,,,,,
7/Jan/19,Project Rain,,Hydrolic and simulation analytics software,$0.0 ,,Deloitte Corporate Finance,Immediate Pass,,,,,,,,,,Jan,2019,,,,,,,,,,,,,,,,,,,,,
2/Jan/19,Project Harvest / Portofino European Bakery,,Wholesale bakery,$1.7 ,,KPMG Corporate Finance (Vancouver),Passed,,,,,,,,,,Jan,2019,,,,,,,,,,,,,,,,,,,,,
17/Dec/18,Project Rock,,Manufacturer and distributor of rock crushing equipment,$4.7 ,,Capital West Partners,Passed,,,,,,,,,,Dec,2018,,,,,,,,,,,,,,,,,,,,,
13/Dec/18,Project Homer,,Industrial truck & trailer dealership group,$6.0 ,,CIBC Mid-Market (Vancouver),Immediate Pass,,,,,,,,,,Dec,2018,,,,,,,,,,,,,,,,,,,,,
4/Dec/18,Project Cup,,Cabinetry manufactuerer,$5.8 ,,MNP (Vancouver),Immediate Pass,,,,,,,,,,Dec,2018,,,,,,,,,,,,,,,,,,,,,
23/Nov/18,WA-2!,,Coffee and office supplies,$0.0 ,,Private (no broker),Passed,,,,,,,,,,Nov,2018,,,,,,,,,,,,,,,,,,,,,
23/Nov/18,Project White Coat,,Specialty telecomunications device manufacturer,$0.0 ,,Deloitte Corporate Finance,Immediate Pass,,,,,,,,,,Nov,2018,,,,,,,,,,,,,,,,,,,,,
9/Oct/18,Project Able / True North Disability Services,,Disability tax credit processor,$2.9 ,,CCC Investment Banking,Passed,,,,,,,,,,Oct,2018,,,,,,,,,,,,,,,,,,,,,
5/Oct/18,Project Grow / K&C Silviculture Ltd. ,,Container seedling nursery,$3.0 ,,KPMG Corporate Finance (Vancouver),Deal Lost,,,,,,,,,,Oct,2018,,,,,,,,,,,,,,,,,,,,,
1/Oct/18,Project Thunder / Storm Guard Water Treatment Inc.,,De-watering & water filtration services,$2.6 ,,CCC Investment Banking,Completed,,,,,,,,,,Oct,2018,,,,,,,,,,,,,,,,,,,,,
2/Oct/18,Project Oyster / Stockhouse.com,,Online financial news hub,$5.2 ,,Canaccord Genuity,Immediate Pass,,,,,,,,,,Oct,2018,,,,,,,,,,,,,,,,,,,,,
3/Oct/18,Project Dakota,,Plastic injection moulding based in WA ,$5.4 ,,Other,Immediate Pass,,,,,,,,,,Oct,2018,,,,,,,,,,,,,,,,,,,,,
28/Sep/18,Project Crispy / Rothesay Holdings Ltd.,,Church's Chicken franchisee,$5.9 ,,MNP (Vancouver),Passed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
14/Sep/18,Project Interchange / POS West Ltd. ,,Payment processing services provider,$5.5 ,,CIBC Mid-Market (Vancouver),Passed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
14/Sep/18,Project Scale / North Delta Seafoods,,"Harvester, processor & distributor of seafood",$3.8 ,,MNP (Vancouver),Passed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
1/Sep/18,Westcan & Indu-Tech (SCG Add-On),,"Pump solutions provider: rebuild, repair, parts manufacturing",$1.3 ,,Sequoia Mergers & Acquisitions Corp.,Completed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
14/Sep/18,PJS Systems,,AV equipment integrator & installer,$1.5 ,,Summit Group,Passed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
14/Sep/18,NFE Manufacturing,,Steal & metal components manufacturer,$3.6 ,,Pacific Mergers & Acquisitions,Passed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
14/Sep/18,Ideal Gear & Machine Works,,Specialty gear manufacturer,$1.7 ,,Peter Day & Associates,Passed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
14/Sep/18,Summit Technologies Inc.,,Building information modeling software,$0.5 ,,Veer Advisors,Passed,,,,,,,,,,Sep,2018,,,,,,,,,,,,,,,,,,,,,
